"word","definition","example_sentence","difficulty_level","difficulty_name","etymology","language_origin","pronunciation","pronunciation_ipa","pronunciation_tips","common_misspellings","audio_url","source_name","source_url","source_difficulty","source_year","definition_source","etymology_source","pronunciation_source","example_source"
"nutation","A bobbing motion that accompanies the precession of a spinning rigid body.","The word ___ is important to understand.","4","Advanced","
1610s, from , from . Compare .","","","","Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"nutria","The coypu, Myocastor coypus.","The word ___ is important to understand.","2","Elementary","From , from .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"nutrients","A source of nourishment, such as food, that can be metabolized by an organism to give energy and build tissue.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Claude","","Claude"
"nuzzer","","","2","Elementary","From .","","","","Remember the double Z","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"nyctinasty","","","4","Advanced","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"nymphal","","","1","Beginner","From .","","","","'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2020","2020","","Wiktionary","",""
"oar","A type of lever used to propel a boat, having a flat blade at one end and a handle at the other, and pivoted in a rowlock atop the gunwale, whereby a rower seated in the boat and pulling the handle can pass the blade through the water by repeated strokes against the water's resistance, thus moving the boat .","The word ___ is important to understand.","1","Beginner","From .","","","/ɔː/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oasis","A spring of fresh water, surrounded by a fertile region of vegetation, in a desert.","The word ___ is important to understand.","1","Beginner","From , from , from , from , <hiero>G43-V28-G1-X1:N25</hiero> Compare Sahidic Coptic  and Arabic .","","","/əʊˈeɪsəs/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"oatmeal","Meal made from rolled or round oats.","The word ___ is important to understand.","2","Elementary","From , from  + . Equivalent to .","","","/ˈəʊtmiːl/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oaxaca","","","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"obdurate","To harden; to obdure.","The word ___ is important to understand.","2","Elementary","Mid-15th century, from , form of , from  + , from .<ref></ref> Compare , .","","","/-ət/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"obediential","","","4","Advanced","From , from . Compare .","","","","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Wiktionary","",""
"obeisant","","","3","Intermediate","Etymology uncertain","","","","Remember: 'E before I' (exception to the rule)","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"obeisantoeuvre","","","5","Expert","Etymology uncertain","","","","Remember: 'E before I' (exception to the rule)","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"obelisk","A tall, square, tapered, stone monolith topped with a pyramidal point, frequently used as a monument.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Claude","","Claude"
"obfuscate","To make dark; overshadow","The word ___ is important to understand.","3","Intermediate","
The #Adjective|adjective is , in , the #Verb|verb in 1536; either , from , or directly from , the    of  (see  and ), from  + . .","","","/ˈɒbfəskeɪt/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"obituary","A brief notice of a person’s death, as published in a newspaper.","The word ___ is important to understand.","1","Beginner","
)'' of the Chilean#Adjective|Chilean author  which appeared in the '''' newspaper on 11 September 1923.
|image2 = Susan Maxwell - Link with Days of Slavery.jpg
|caption2 = An obituary ''()'' of  published in ''w:The Globe (Toronto newspaper)|The Globe'' newspaper on 12 February 1923. At the time of her death at 117 the previous day, she was said to be Canada’s old#Adjective|oldest citizen.
}}

 + w:English language|English  denoting something relating to another thing or used in a place}}.  is ","","","/əʊ̯ˈbɪtjʊəɹiː/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"objective","A material object that physically exists.","The word ___ is important to understand.","4","Advanced","From , from  and its etymon .<ref></ref> .","","","/ɒbˈd͡ʒɛk.tɪv/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"objet","","","1","Beginner",". .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"oblast","A region or province in Slavic or Slavic-influenced countries.","The word ___ is important to understand.","2","Elementary","From a  language, probably , borrowed from , from , from earlier , , a compound of  + , thus originally probably meaning ""a region ruled over"". Compare .","A","","/ˈɒbləst/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oblige","To constrain someone by force or by social, moral or legal means.","The word ___ is important to understand.","2","Elementary","
From , from , , from , from  + . , taken straight from Latin.","Latin","","/əˈblaɪdʒ/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"obligeviscount","","","5","Expert","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","","Claude","",""
"oblique","An oblique line.","The word ___ is important to understand.","2","Elementary","From , from .","","","/əˈbliːk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"obliterate","To remove completely, leaving no trace; to wipe out; to destroy.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","/əbˈlɪtəɹeɪt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"obliviscence","","","3","Intermediate","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"oblong","Something with an oblong shape.","The word ___ is important to understand.","2","Elementary","From , , borrowed from .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"obloquy","Abusive language.","The word ___ is important to understand.","2","Elementary","From , from .","","","/ˈɒbləˌkwi/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"obnebulate","","","4","Advanced",", perfect passive participle of , from .<ref></ref><ref></ref> Compare , derived from the unrelated .","The","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"obscure","To render obscure; to darken; to make dim; to keep in the dark; to hide; to make less visible, intelligible, legible, glorious, beautiful, or illustrious.","The word ___ is important to understand.","2","Elementary","
From , from , from , from , from , from . .","","","/əbˈskjɔː(ɹ)/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"obsecration","An earnest supplication made in the name of God","The word ___ is important to understand.","4","Advanced","Contains Latin suffix '-tion' meaning 'act or process of'","","","","Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"observations","The act of observing, and the fact of being observed (see observance)","The word ___ is important to understand.","4","Advanced","Contains Latin suffix '-tion' meaning 'act or process of'","","","/ˌɒbzəˈveɪʃənz/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Claude","Dictionary API","Claude"
"obsidian","A type of black glass produced by volcanoes.","The word ___ is important to understand.","1","Beginner","From ; named after , who was, according to , the Roman who discovered the stone in w:Aethiopia|Aethiopia.","","","/ˌɒbˈsɪd.i.ən/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"obsolete","(of words, equipment, etc.) No longer in use; gone into disuse; disused or neglected (often by preference for something newer, which replaces the subject).","The word ___ is important to understand.","4","Advanced","
, past participle of ; see .","","","/ˈɒbsəliːt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"obstacles","Something that impedes, stands in the way of, or holds up progress","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/obstacles-us.mp3","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Claude","","Claude"
"obstetrician","A physician who specializes in childbirth.","The word ___ is important to understand.","4","Advanced","From .","","","/ˌɒbstəˈtɹɪʃən/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"obstreperous","Attended by, or making, a loud and tumultuous noise; boisterous.","The word ___ is important to understand.","4","Advanced","Borrowed from , first attested circa  Compare .","","","/ɒbˈstɹɛp.əɹ.əs/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"obviouspulse","","","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","","Claude","",""
"occipital","The occipital bone.","The word ___ is important to understand.","3","Intermediate","Borrowing from , from , from , equivalent of . .","","","/ɒk.ˈsɪp.ɪt.əl/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"occultation","","","4","Advanced","File:Solar eclipse 1999 4.jpg|thumb|The occultation of the [[Sun by the Moon during the w:Solar eclipse of August 11, 1999|solar eclipse of 11 August 1999. A total eclipse#Noun|eclipse was visible mainly in Europe.]]

From ,   of , from ,    of ;<ref>Compare </ref> analysable as .","","","","Remember the double C; Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"occupancy","The act of occupying, the state of being occupied or the state of being an occupant or tenant.","The word ___ is important to understand.","3","Intermediate","From .","","","","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","","Claude"
"occupy","(of time) To take or use.","The word ___ is important to understand.","2","Elementary","
From , , borrowed from , from , from  + , ultimately from . , now obsolete.","","","/ˈɒkjʊpaɪ/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"occur","To happen or take place.","The word ___ is important to understand.","1","Beginner","
Originally ""meet (in argument)"", borrowed from , from  from prefix  + verb .","Prefix","","/əˈkɜː/","Remember the double C","[]","https://api.dictionaryapi.dev/media/pronunciations/en/occur-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"occurred","To happen or take place.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","/əˈkɜːd/","Remember the double C, R","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"oceanian","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"oceaniancharitable","","","5","Expert","Contains Latin suffix '-able' meaning 'capable of'","","","","","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Claude","",""
"ocelotonyx","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"ochlocracy","Mob rule; government by the masses; mobocracy.","The word ___ is important to understand.","1","Beginner","From , from , from  + .<ref name=""dict.com"">ochlocracy. (n.d.). Dictionary.com Unabridged (v 1.1). Retrieved February 27, 2007, from Dictionary.com website: http://dictionary.reference.com/browse/ochlocracy</ref><ref name=""AmHer"">ochlocracy. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved February 27, 2007, from Dictionary.com website: http://dictionary.reference.com/browse/ochlocracy</ref> Equivalent to .","Dictionary","","/ɒkˈlɒkɹəsi/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"ocotillo","Any of various succulent plants unrelated to the cactus, in the genus Fouquieria, especially Fouquieria splendens, living in Central America or the southwest United States.","The word ___ is important to understand.","2","Elementary","From American , from .","American","","/əʊkəˈtiː(j)əʊ/","Remember the double L","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"octo","","","1","Beginner","

Cognates include , ,  and  (English ). Rubenbauer/Hofmann argue the form seems to stem from a PIE dual (""two times four fingertips"" in a base-4 system).","A","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"october","","","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","","Claude","",""
"octochamps","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"octonocular","","","4","Advanced","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"octonocularoctuplicate","","","5","Expert","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"octopus","Any of several marine molluscs of the family Octopodidae, having no internal or external protective shell or bone (unlike the nautilus, squid and cuttlefish) and eight arms each covered with suckers.","The word ___ is important to understand.","2","Elementary","
From , from , from  + .","","","/ˈɒk.tə.pəs/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"octuplicate","","","4","Advanced","; probably patterned after duplicate from .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"oculus","A window or other opening that has an oval or circular shape (as of an eye).","The word ___ is important to understand.","2","Elementary","
. .","","","/ˈɒ.ˌkjə.ləs/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"oddity","An odd or strange thing or opinion.","The word ___ is important to understand.","2","Elementary","From .","","","","Remember the double D","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","","Claude"
"odiferous","Odoriferous; smelly","The word ___ is important to understand.","3","Intermediate","Shortened from .","","","/əʊˈdɪfəɹəs/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"odin","","","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"odlcceroi","","","3","Intermediate","Etymology uncertain","","","","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"odometer","An instrument attached to the wheel of a vehicle, to measure the distance traveled.","The word ___ is important to understand.","4","Advanced","From , from  + , equivalent to .","","","/oʊˈdɑːmətɚ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"odontiasis","","","3","Intermediate","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Wiktionary","",""
"odysseus","","","4","Advanced","Etymology uncertain","","","","Remember the double S","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"oebe","","","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"oeil","","","1","Beginner","Etymology uncertain","","","","Remember: 'E before I' (exception to the rule)","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"oeuvre","A work of art.","The word ___ is important to understand.","2","Elementary","
From , from , from  (plural of ), from . .","","","/ˈuːvɹə/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"off","(usually in phrases such as 'from the off', 'at the off', etc.) Beginning; starting point.","The word ___ is important to understand.","1","Beginner","From , from , , , from , from , from . .


Cognate with , , , , , , , , ,  and , , ; and with , , and others.
","","","/ɔːf/","Remember the double F","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"offhandedly","","","4","Advanced","From .","","","","Remember the double F","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Wiktionary","",""
"office","A ceremonial duty or service, particularly:","The word ___ is important to understand.","2","Elementary","
From , from , from , contracted from ,<ref>''Oxford English Dictionary''. ""office, ''n.''"" Oxford University Press (Oxford), 2004.</ref> from  + ,<ref>''Oxford English Dictionary''. ""†&nbsp;opifice, ''n.''""</ref> from  +  + }}.<ref>''Oxford English Dictionary''. ""opifex, ''n.''""</ref>

The computing sense is a  of various proprietary program suites, such as .","","","/ˈɑfɪs/","Remember the double F","[]","https://api.dictionaryapi.dev/media/pronunciations/en/office-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"official","An office holder invested with powers and authorities.","The word ___ is important to understand.","4","Advanced","
From , from , from , from , .","","","/əˈfɪʃəl/","Remember the double F","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"officiant","A person who officiates at a religious ceremony (other than the Eucharist)","The word ___ is important to understand.","1","Beginner","
From , present participle of  (not to be confused with Classical ), a denominal verb from .","","","","Remember the double F","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","","Claude"
"officinal","Medicinal.","The word ___ is important to understand.","4","Advanced","From , from   , contracted from , from ;  + .","","","","Remember the double F","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"offspring","A person's daughter(s) and/or son(s); a person's children.","The word ___ is important to understand.","2","Elementary","From , from , equivalent to . Compare . More at , .","","","/ˈɒfspɹɪŋ/","Remember the double F","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"often","Frequent.","The word ___ is important to understand.","1","Beginner","From , alteration (with final ''-n'' added due to analogy with ) of , , from , from , . Cognate with , , , , , , , , , and .","","","/ˈɑf(t)ən/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oftentimes","Frequently","The word ___ is important to understand.","3","Intermediate","Inherited from the ; equivalent to . Compare .","The","","/ˈɒf.tənˌtaɪmz/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/oftentimes-au.mp3","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"ogival","","","2","Elementary","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"ogivalnoun","","","3","Intermediate","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"ogre","A type of brutish giant from folk tales that eats human flesh.","The word ___ is important to understand.","1","Beginner","
First attested in the 18th century, borrowed from , from , from , the personified demon of oaths () who inflicts punishment upon oath-breakers. .","","","/ˈəʊ.ɡə/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/ogre-au.mp3","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"ogres","A type of brutish giant from folk tales that eats human flesh.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"ohio","","","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"oil","Liquid fat.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/ɔɪl/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","Dictionary API","Claude"
"ointment","A viscous preparation of oils and/or fats, usually containing medication, used as a treatment or as an emollient.","The word ___ is important to understand.","4","Advanced","
A later form (as if ) of , borrowed from , from , , , from , from . Partly displaced native , whence modern .","","","/ˈɔɪntm(ə)nt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"ojibwa","","","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"okapi","A large ruminant mammal, Okapia johnstoni, found in the rainforests of the Congo, related to the giraffe, but with a much shorter neck, a reddish brown coat and zebra-like stripes on its hindquarters.","The word ___ is important to understand.","1","Beginner","File:Okapia johnstoni -Marwell Wildlife, Hampshire, England-8a.jpg|thumb|An okapi ().

Borrowed from .<ref>; </ref>","","","/ə(ʊ)ˈkɑːpi/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"okefenokee","","","3","Intermediate","Etymology uncertain","","","","Remember the double E","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"older","Of an object, concept, relationship, etc., having existed for a relatively long period of time.","The word ___ is important to understand.","1","Beginner","From , cognate with .","","","/ˈəʊldə/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oldest","Of an object, concept, relationship, etc., having existed for a relatively long period of time.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ˈəʊldəst/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Claude","Dictionary API","Claude"
"olecranon","The bony process at the top of the ulna forming the point of the elbow.","The word ___ is important to understand.","4","Advanced","
From .","","","/əˈlɛkɹənən/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oleiculture","","","4","Advanced","Etymology uncertain","","","","Remember: 'E before I' (exception to the rule)","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"olfactory","An olfactory organ.","The word ___ is important to understand.","4","Advanced","

From , from .","","","/ɒlˈfæk.təɹ.ɪ/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/olfactory-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oligarchy","A government run by only a few, often the wealthy.","The word ___ is important to understand.","3","Intermediate",", from , from , from  + .

.","","","/ˈɒlɪˌɡɑːki/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"olingo","A small procyonid resembling the kinkajou, native to the rainforests of Central and South America.","The word ___ is important to understand.","2","Elementary","From American .","American","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"olive","A tree, Olea europaea, cultivated since ancient times in the Mediterranean for its fruit and the oil obtained from it.","The word ___ is important to understand.","1","Beginner","From , from , from , itself either from , Pre-Classical Greek  (compare , ), or the same source as those two. In any case, ultimately from a Mediterranean  source,<ref></ref> possibly .}} More questionably, maybe from  (compare , ).<ref>Radoslav Katičić, ''Ancient Languages of the Balkans, Part One'' (Paris: Mouton, 1976).</ref> . Displaced native , literally ""oil berry.""","A","","/ˈɒlɪv/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"ologies","Any branch of learning, especially one ending in “-logy”.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Claude","","Claude"
"ology","Any branch of learning, especially one ending in “-logy”.","The word ___ is important to understand.","1","Beginner","From the suffix  in the names of many sciences.","The","","/ˈɒlədʒɪ/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"olympiad","A period of four years, by which the ancient Greeks reckoned time, being the interval from one celebration of the Olympic games to another, beginning with the victory of Corbus in the foot race, which took place in the year 776 BC; as, the era of the olympiads.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/olympiad-us.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"olympics","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"oman","","","1","Beginner",".<ref></ref>","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Wiktionary","",""
"ombudsman","An appointed official whose duty is to investigate complaints, generally on behalf of individuals such as consumers or taxpayers, against institutions such as companies and government departments.","The word ___ is important to understand.","3","Intermediate"," (equivalent to  + ), from .","","","/ɔmˈbʊdzmən/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"omega","The twenty-fourth letter of the Classical and the Modern Greek alphabet, and the twenty-eighth letter of the Old and the Ancient Greek alphabet, i.e. the last letter of every Greek alphabet. Uppercase version: Ω; lowercase: ω.","The word ___ is important to understand.","1","Beginner","From , from , meaning “great ω” (omega is a long vowel in Ancient Greek).","","","/ˈəʊmiːɡə/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/omega-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"omen","Something which portends or is perceived to portend either a good or evil event or circumstance in the future, or which causes a foreboding; a portent or augury.","The word ___ is important to understand.","1","Beginner","From .<!-- Century 1911: futher from  + ; Merrian and Webster online and Online Etymology Dictionary disagree. -->","","","/ˈəʊmən/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"omission","The act of omitting.","The word ___ is important to understand.","4","Advanced","From , from , from , from .","","","/oʊˈmɪʃən/","Remember the double S; Ends with '-SION' (sounds like 'zhun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"omnibus","A vehicle set up to carry many people (now usually called a bus).","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ˈɒmnɪbəs/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/omnibus-au.mp3","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Claude","Dictionary API","Claude"
"omnilegent","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"omniscient","One who has total knowledge.","The word ___ is important to understand.","4","Advanced","
From , from  +  (further analysable via ).","","","/ɒmˈnɪsɪənt/","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"once","(frequency) One and only one time.","The word ___ is important to understand.","1","Beginner","From .","","","/wɒn(t)s/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oncologist","A doctor or scientist who specializes in oncology.","The word ___ is important to understand.","3","Intermediate","From  or .","","","/ɒnˈkɒlədʒɪst/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"oncoming","To arrive; come to; come on.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/oncoming-us.mp3","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Claude","","Claude"
"onerous","Imposing or constituting a physical, mental, or figurative load which can be borne only with effort; burdensome.","The word ___ is important to understand.","2","Elementary","
From , from , from , from , from . Compare ''exonerate.''","","","/ˈɒnəɹəs/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"onion","A monocotyledonous plant (Allium cepa), allied to garlic, used as vegetable and spice.","The word ___ is important to understand.","1","Beginner","From , , from , from , accusative of , which had also been borrowed into Old English as ,  (> , ). Also displaced  and the inherited term .
*  Stems from a  wordfilter|word filter which changes the word  to ''onions''. The word filter was implemented in relation to the ""alpha onion eater"" meme, which is depicted as the direct opposite of the soy boy.","A","","/ˈʌŋjɪn/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
